Name,Rank,Year,Surface,Aces,FirstServe,SecondServePointsWon,BreakPointsSaved,FirstServeReturnPointsWon,SecondServeReturnPointsWon,BreakPointsConverted,Titles
Benoit Paire,26,0,Clay,357,50,46,61,34,50,40,0
Benoit Paire,26,0,Grass,147,57,47,56,30,47,36,0
Benoit Paire,26,0,Hard,564,52,47,56,31,50,39,0
Benoit Paire,26,2013,All,527,52,47,60,32,50,41,0
Benoit Paire,26,2013,Clay,165,49,48,62,34,50,43,0
Benoit Paire,26,2013,Grass,63,58,47,52,32,44,40,0
Benoit Paire,26,2013,Hard,299,54,46,60,31,50,39,0
Benoit Paire,26,2012,All,385,51,47,57,33,51,37,0
Benoit Paire,26,2012,Clay,143,50,45,60,34,52,37,0
Benoit Paire,26,2012,Grass,68,57,51,64,32,49,33,0
Benoit Paire,26,2012,Hard,174,51,47,51,31,50,37,0
Benoit Paire,26,2011,All,86,52,45,55,30,50,41,0
Benoit Paire,26,2011,Clay,25,50,44,60,34,48,39,0
Benoit Paire,26,2011,Grass,16,55,36,40,17,52,38,0
Benoit Paire,26,2011,Hard,45,52,49,52,30,52,45,0
Benoit Paire,26,2010,All,70,52,46,61,26,47,44,0
Benoit Paire,26,2010,Clay,24,55,43,64,29,39,33,0
Benoit Paire,26,2010,Grass,0,0,0,0,0,0,0,0
Benoit Paire,26,2010,Hard,46,51,47,60,25,49,48,0
Jurgen Melzer,27,0,All,3156,61,51,60,30,48,40,5
Jurgen Melzer,27,0,Clay,775,61,50,57,33,50,42,1
Jurgen Melzer,27,0,Grass,548,61,52,63,27,48,36,0
Jurgen Melzer,27,0,Hard,1780,61,51,62,29,48,39,4
Jurgen Melzer,27,2013,All,214,66,50,60,29,48,36,1
Jurgen Melzer,27,2013,Clay,23,63,44,41,25,43,33,0
Jurgen Melzer,27,2013,Grass,53,68,55,70,31,46,38,0
Jurgen Melzer,27,2013,Hard,138,65,51,63,30,50,36,1
Jurgen Melzer,27,2012,All,204,62,51,57,28,47,45,1
Jurgen Melzer,27,2012,Clay,22,63,49,56,29,44,47,0
Jurgen Melzer,27,2012,Grass,27,66,50,53,25,47,48,0
Jurgen Melzer,27,2012,Hard,155,61,52,58,28,48,45,1
Jurgen Melzer,27,2011,All,207,63,51,58,32,49,40,0
Jurgen Melzer,27,2011,Clay,53,65,51,64,35,53,47,0
Jurgen Melzer,27,2011,Grass,24,63,51,48,29,50,27,0
Jurgen Melzer,27,2011,Hard,130,61,51,55,31,46,38,0
Jurgen Melzer,27,2010,All,452,61,55,63,30,49,41,1
Jurgen Melzer,27,2010,Clay,120,61,56,65,34,49,42,0
Jurgen Melzer,27,2010,Grass,64,63,55,64,24,47,48,0
Jurgen Melzer,27,2010,Hard,268,60,55,62,29,50,39,1
Jurgen Melzer,27,2009,All,412,60,51,59,30,47,40,1
Jurgen Melzer,27,2009,Clay,91,60,50,52,31,48,44,0
Jurgen Melzer,27,2009,Grass,70,56,52,63,30,49,40,0
Jurgen Melzer,27,2009,Hard,251,60,52,62,29,47,37,1
Jurgen Melzer,27,2008,All,344,62,54,60,29,47,37,0
Jurgen Melzer,27,2008,Clay,60,59,52,51,33,50,36,0
Jurgen Melzer,27,2008,Grass,68,61,54,71,25,46,28,0
Jurgen Melzer,27,2008,Hard,216,63,55,61,28,46,39,0
Jurgen Melzer,27,2007,All,208,64,50,59,30,47,39,0
Jurgen Melzer,27,2007,Clay,54,61,49,53,35,46,37,0
Jurgen Melzer,27,2007,Grass,6,61,49,50,12,64,67,0
Jurgen Melzer,27,2007,Hard,144,65,50,61,29,47,41,0
Jurgen Melzer,27,2006,All,323,61,50,63,32,49,40,1
Jurgen Melzer,27,2006,Clay,136,63,51,66,35,51,44,1
Jurgen Melzer,27,2006,Grass,69,56,54,56,30,46,30,0
Jurgen Melzer,27,2006,Hard,112,59,49,61,30,47,38,0
Jurgen Melzer,27,2005,All,215,60,49,61,30,47,43,0
Jurgen Melzer,27,2005,Clay,58,61,48,59,35,52,43,0
Jurgen Melzer,27,2005,Grass,40,60,51,75,26,49,39,0
Jurgen Melzer,27,2005,Hard,107,60,49,58,27,44,42,0
Jurgen Melzer,27,2004,All,257,58,48,63,30,51,43,0
Jurgen Melzer,27,2004,Clay,69,58,49,54,32,53,40,0
Jurgen Melzer,27,2004,Grass,17,58,49,61,29,54,43,0
Jurgen Melzer,27,2004,Hard,138,58,48,67,29,50,45,0
Jurgen Melzer,27,2003,All,194,56,46,62,29,50,39,0
Jurgen Melzer,27,2003,Clay,39,56,45,52,34,52,43,0
Jurgen Melzer,27,2003,Grass,87,58,48,63,27,51,33,0
Jurgen Melzer,27,2003,Hard,68,55,45,72,26,45,39,0
Jurgen Melzer,27,2002,All,92,60,48,57,30,49,42,0
Jurgen Melzer,27,2002,Clay,47,59,51,55,32,48,47,0
Jurgen Melzer,27,2002,Grass,7,67,34,47,20,40,25,0
Jurgen Melzer,27,2002,Hard,38,61,45,64,30,54,36,0
Jurgen Melzer,27,2001,All,5,59,41,60,34,44,18,0
Jurgen Melzer,27,2001,Clay,0,0,0,0,0,0,0,0
Jurgen Melzer,27,2001,Grass,0,0,0,0,0,0,0,0
Jurgen Melzer,27,2001,Hard,5,59,41,60,34,44,18,0
Jurgen Melzer,27,2000,All,19,57,52,42,24,48,32,0
Jurgen Melzer,27,2000,Clay,3,49,52,43,29,49,31,0
Jurgen Melzer,27,2000,Grass,16,67,52,40,18,47,33,0
Jurgen Melzer,27,2000,Hard,0,0,0,0,0,0,0,0
Jurgen Melzer,27,1999,All,10,40,45,56,35,46,39,0
Jurgen Melzer,27,1999,Clay,0,0,0,0,0,0,0,0
Jurgen Melzer,27,1999,Grass,0,0,0,0,0,0,0,0
Jurgen Melzer,27,1999,Hard,10,40,45,56,35,46,39,0
Janko Tipsarevic,28,0,All,3090,57,52,61,27,50,40,4
Janko Tipsarevic,28,0,Clay,556,56,50,57,30,49,42,1
Janko Tipsarevic,28,0,Grass,534,59,55,65,24,52,38,0
Janko Tipsarevic,28,0,Hard,1923,56,53,63,27,51,40,3
Janko Tipsarevic,28,2013,All,261,58,52,68,27,49,38,1
Janko Tipsarevic,28,2013,Clay,57,59,49,67,27,49,40,0
Janko Tipsarevic,28,2013,Grass,3,61,54,80,18,43,0,0
Janko Tipsarevic,28,2013,Hard,201,57,54,67,27,49,39,1
Janko Tipsarevic,28,2012,All,632,58,54,63,29,50,40,1
Janko Tipsarevic,28,2012,Clay,191,57,53,55,33,51,40,1
Janko Tipsarevic,28,2012,Grass,94,62,59,72,24,49,36,0
Janko Tipsarevic,28,2012,Hard,347,58,54,66,28,51,41,0
Janko Tipsarevic,28,2011,All,444,56,55,62,31,54,43,2
Janko Tipsarevic,28,2011,Clay,43,54,54,56,32,53,49,0
Janko Tipsarevic,28,2011,Grass,34,60,60,64,29,52,39,0
Janko Tipsarevic,28,2011,Hard,367,56,55,63,31,55,42,2
Janko Tipsarevic,28,2010,All,306,58,54,63,27,50,38,0
Janko Tipsarevic,28,2010,Clay,5,60,47,60,26,31,29,0
Janko Tipsarevic,28,2010,Grass,69,58,52,72,20,51,44,0
Janko Tipsarevic,28,2010,Hard,232,58,54,61,28,51,37,0
Janko Tipsarevic,28,2009,All,331,56,52,61,28,50,43,0
Janko Tipsarevic,28,2009,Clay,108,54,52,60,30,48,41,0
Janko Tipsarevic,28,2009,Grass,44,55,46,49,25,55,45,0
Janko Tipsarevic,28,2009,Hard,179,58,52,64,28,51,45,0
Janko Tipsarevic,28,2008,All,422,55,52,61,25,50,40,0
Janko Tipsarevic,28,2008,Clay,62,54,45,46,27,48,50,0
Janko Tipsarevic,28,2008,Grass,87,61,60,74,22,51,40,0
Janko Tipsarevic,28,2008,Hard,273,55,53,64,25,50,37,0
Janko Tipsarevic,28,2007,All,304,56,49,60,24,50,40,0
Janko Tipsarevic,28,2007,Clay,30,55,52,53,31,45,48,0
Janko Tipsarevic,28,2007,Grass,109,57,54,65,24,52,45,0
Janko Tipsarevic,28,2007,Hard,145,56,45,59,24,49,36,0
Janko Tipsarevic,28,2006,All,177,56,49,56,25,48,32,0
Janko Tipsarevic,28,2006,Clay,18,56,41,38,25,43,26,0
Janko Tipsarevic,28,2006,Grass,54,59,60,65,23,51,20,0
Janko Tipsarevic,28,2006,Hard,57,52,48,56,26,48,42,0
Janko Tipsarevic,28,2005,All,126,53,51,55,25,49,38,0
Janko Tipsarevic,28,2005,Clay,36,54,47,59,31,49,41,0
Janko Tipsarevic,28,2005,Grass,29,58,52,53,20,58,38,0
Janko Tipsarevic,28,2005,Hard,52,49,53,52,22,45,40,0
Janko Tipsarevic,28,2004,All,69,57,46,58,26,51,30,0
Janko Tipsarevic,28,2004,Clay,6,55,42,55,26,49,21,0
Janko Tipsarevic,28,2004,Grass,11,59,42,67,24,63,27,0
Janko Tipsarevic,28,2004,Hard,52,58,48,55,27,50,32,0
Janko Tipsarevic,28,2003,All,18,54,54,48,22,53,39,0
Janko Tipsarevic,28,2003,Clay,0,0,0,0,0,0,0,0
Janko Tipsarevic,28,2003,Grass,0,0,0,0,0,0,0,0
Janko Tipsarevic,28,2003,Hard,18,54,54,48,22,53,39,0
Janko Tipsarevic,28,2002,All,0,0,0,0,0,0,0,0
Janko Tipsarevic,28,2002,Clay,0,0,0,0,0,0,0,0
Janko Tipsarevic,28,2002,Grass,0,0,0,0,0,0,0,0
Janko Tipsarevic,28,2002,Hard,0,0,0,0,0,0,0,0
Janko Tipsarevic,28,2001,All,0,0,0,0,0,0,0,0
Janko Tipsarevic,28,2001,Clay,0,0,0,0,0,0,0,0
Janko Tipsarevic,28,2001,Grass,0,0,0,0,0,0,0,0
Janko Tipsarevic,28,2001,Hard,0,0,0,0,0,0,0,0
Feliciano Lopez,29,0,All,6206,59,52,65,26,44,36,3
Feliciano Lopez,29,0,Clay,1295,58,51,64,29,45,37,0
Feliciano Lopez,29,0,Grass,1139,61,53,66,25,45,36,1
Feliciano Lopez,29,0,Hard,3534,58,52,65,26,43,36,2
Feliciano Lopez,29,2013,All,517,59,53,65,28,45,37,1
Feliciano Lopez,29,2013,Clay,101,59,51,66,28,47,41,0
Feliciano Lopez,29,2013,Grass,149,62,60,69,29,42,32,1
Feliciano Lopez,29,2013,Hard,267,56,52,63,27,46,37,0
Feliciano Lopez,29,2012,All,543,57,52,70,27,44,36,0
Feliciano Lopez,29,2012,Clay,120,58,55,73,28,45,34,0
Feliciano Lopez,29,2012,Grass,102,62,55,65,25,40,44,0
Feliciano Lopez,29,2012,Hard,321,56,50,69,27,44,36,0
Feliciano Lopez,29,2011,All,734,58,53,66,26,44,34,0
Feliciano Lopez,29,2011,Clay,194,61,55,67,26,43,35,0
Feliciano Lopez,29,2011,Grass,160,63,50,73,24,51,36,0
Feliciano Lopez,29,2011,Hard,380,55,53,65,27,43,32,0
Feliciano Lopez,29,2010,All,516,57,51,68,26,43,36,1
Feliciano Lopez,29,2010,Clay,73,58,46,64,27,44,38,0
Feliciano Lopez,29,2010,Grass,100,57,54,63,25,45,37,0
Feliciano Lopez,29,2010,Hard,343,57,51,71,26,42,36,1
Feliciano Lopez,29,2009,All,378,62,52,62,28,42,38,0
Feliciano Lopez,29,2009,Clay,86,56,52,68,31,42,33,0
Feliciano Lopez,29,2009,Grass,54,63,53,55,26,42,47,0
Feliciano Lopez,29,2009,Hard,238,64,51,61,26,43,40,0
Feliciano Lopez,29,2008,All,572,61,53,65,26,43,35,0
Feliciano Lopez,29,2008,Clay,61,64,54,72,29,43,26,0
Feliciano Lopez,29,2008,Grass,129,65,53,69,26,47,35,0
Feliciano Lopez,29,2008,Hard,382,59,53,62,25,43,38,0
Feliciano Lopez,29,2007,All,511,60,53,65,25,44,38,0
Feliciano Lopez,29,2007,Clay,93,56,50,65,29,42,43,0
Feliciano Lopez,29,2007,Grass,56,60,52,61,21,48,42,0
Feliciano Lopez,29,2007,Hard,348,61,53,64,25,44,35,0
Feliciano Lopez,29,2006,All,468,58,48,59,27,44,35,0
Feliciano Lopez,29,2006,Clay,123,59,51,57,28,45,33,0
Feliciano Lopez,29,2006,Grass,71,59,45,63,25,47,50,0
Feliciano Lopez,29,2006,Hard,223,58,48,60,27,43,33,0
Feliciano Lopez,29,2005,All,488,59,51,64,27,44,36,0
Feliciano Lopez,29,2005,Clay,87,61,45,63,31,45,30,0
Feliciano Lopez,29,2005,Grass,90,60,55,68,23,47,39,0
Feliciano Lopez,29,2005,Hard,282,59,52,62,27,44,39,0
Feliciano Lopez,29,2004,All,558,57,52,66,25,44,36,1
Feliciano Lopez,29,2004,Clay,121,54,51,64,29,47,44,0
Feliciano Lopez,29,2004,Grass,59,59,62,38,20,41,28,0
Feliciano Lopez,29,2004,Hard,295,57,52,70,24,44,34,1
Feliciano Lopez,29,2003,All,546,59,58,67,35,53,39,0
Feliciano Lopez,29,2003,Clay,141,58,53,62,32,50,50,0
Feliciano Lopez,29,2003,Grass,88,60,50,75,30,47,30,0
Feliciano Lopez,29,2003,Hard,256,58,67,69,41,60,33,0
Feliciano Lopez,29,2002,All,336,59,49,65,25,43,38,0
Feliciano Lopez,29,2002,Clay,56,56,52,66,27,44,35,0
Feliciano Lopez,29,2002,Grass,81,58,51,63,20,42,37,0
Feliciano Lopez,29,2002,Hard,199,61,48,65,26,42,40,0
Feliciano Lopez,29,2001,All,39,60,48,51,33,41,34,0
Feliciano Lopez,29,2001,Clay,39,60,48,51,33,41,34,0
Feliciano Lopez,29,2001,Grass,0,0,0,0,0,0,0,0
Feliciano Lopez,29,2001,Hard,0,0,0,0,0,0,0,0
Feliciano Lopez,29,2000,All,0,59,26,25,13,36,0,0
Feliciano Lopez,29,2000,Clay,0,59,26,25,13,36,0,0
Feliciano Lopez,29,2000,Grass,0,0,0,0,0,0,0,0
Feliciano Lopez,29,2000,Hard,0,0,0,0,0,0,0,0
Feliciano Lopez,29,1998,All,0,73,50,29,33,38,0,0
Feliciano Lopez,29,1998,Clay,0,73,50,29,33,38,0,0
Feliciano Lopez,29,1998,Grass,0,0,0,0,0,0,0,0
Feliciano Lopez,29,1998,Hard,0,0,0,0,0,0,0,0
Dmitry Tursunov,30,0,All,2969,57,51,63,27,49,39,7
Dmitry Tursunov,30,0,Clay,330,57,46,59,30,49,37,0
Dmitry Tursunov,30,0,Grass,511,59,52,64,26,48,37,2
Dmitry Tursunov,30,0,Hard,2004,56,51,63,27,50,41,5
Dmitry Tursunov,30,2013,All,345,57,49,66,27,50,42,0
Dmitry Tursunov,30,2013,Clay,73,57,45,62,29,51,39,0
Dmitry Tursunov,30,2013,Grass,5,56,57,50,11,49,0,0
Dmitry Tursunov,30,2013,Hard,267,57,50,68,27,50,44,0
Dmitry Tursunov,30,2012,All,84,60,47,62,22,46,25,0
Dmitry Tursunov,30,2012,Clay,16,58,43,31,25,46,40,0
Dmitry Tursunov,30,2012,Grass,30,64,54,70,17,43,0,0
Dmitry Tursunov,30,2012,Hard,38,58,45,64,23,49,29,0
Dmitry Tursunov,30,2011,All,232,61,50,63,26,48,42,1
Dmitry Tursunov,30,2011,Clay,11,64,54,54,25,54,40,0
Dmitry Tursunov,30,2011,Grass,60,64,52,63,29,49,39,1
Dmitry Tursunov,30,2011,Hard,161,59,50,63,25,47,43,0
Dmitry Tursunov,30,2010,All,86,62,55,60,25,48,36,0
Dmitry Tursunov,30,2010,Clay,0,62,48,61,22,26,0,0
Dmitry Tursunov,30,2010,Grass,6,66,45,47,9,46,100,0
Dmitry Tursunov,30,2010,Hard,80,61,57,63,27,50,37,0
Dmitry Tursunov,30,2009,All,191,58,49,65,28,49,41,1
Dmitry Tursunov,30,2009,Clay,9,57,33,53,29,53,24,0
Dmitry Tursunov,30,2009,Grass,42,61,51,74,26,42,42,1
Dmitry Tursunov,30,2009,Hard,140,56,50,64,28,52,43,0
Dmitry Tursunov,30,2008,All,437,58,52,65,27,48,36,2
Dmitry Tursunov,30,2008,Clay,72,57,46,69,34,44,35,0
Dmitry Tursunov,30,2008,Grass,55,60,59,70,20,46,22,0
Dmitry Tursunov,30,2008,Hard,310,58,53,63,26,50,39,2
Dmitry Tursunov,30,2007,All,400,57,54,57,28,49,39,2
Dmitry Tursunov,30,2007,Clay,43,55,49,52,30,46,31,0
Dmitry Tursunov,30,2007,Grass,94,59,57,65,28,50,44,0
Dmitry Tursunov,30,2007,Hard,236,56,53,56,28,50,42,2
Dmitry Tursunov,30,2006,All,627,55,50,61,30,51,40,1
Dmitry Tursunov,30,2006,Clay,75,56,46,64,31,51,39,0
Dmitry Tursunov,30,2006,Grass,100,56,53,55,31,49,38,0
Dmitry Tursunov,30,2006,Hard,406,54,51,62,30,51,41,1
Dmitry Tursunov,30,2005,All,279,55,47,66,30,51,46,0
Dmitry Tursunov,30,2005,Clay,3,43,60,33,44,59,69,0
Dmitry Tursunov,30,2005,Grass,79,56,45,68,27,53,39,0
Dmitry Tursunov,30,2005,Hard,146,53,47,64,29,49,49,0
Dmitry Tursunov,30,2004,All,201,54,52,62,26,48,36,0
Dmitry Tursunov,30,2004,Clay,28,59,45,46,28,50,35,0
Dmitry Tursunov,30,2004,Grass,40,57,52,56,27,46,43,0
Dmitry Tursunov,30,2004,Hard,133,52,54,69,26,49,34,0
Dmitry Tursunov,30,2003,All,61,53,47,52,26,50,38,0
Dmitry Tursunov,30,2003,Clay,0,0,0,0,0,0,0,0
Dmitry Tursunov,30,2003,Grass,0,0,0,0,0,0,0,0
Dmitry Tursunov,30,2003,Hard,61,53,47,52,26,50,38,0
Dmitry Tursunov,30,2001,All,26,58,51,67,26,54,35,0
Dmitry Tursunov,30,2001,Clay,0,0,0,0,0,0,0,0
Dmitry Tursunov,30,2001,Grass,0,0,0,0,0,0,0,0
Dmitry Tursunov,30,2001,Hard,26,58,51,67,26,54,35,0
Gael Monfils,31,0,All,3643,61,50,61,32,49,41,4
Gael Monfils,31,0,Clay,818,61,49,61,35,49,43,1
Gael Monfils,31,0,Grass,387,61,52,56,29,49,38,0
Gael Monfils,31,0,Hard,2338,61,50,61,31,49,40,3
Gael Monfils,31,2013,All,422,66,49,64,33,48,40,0
Gael Monfils,31,2013,Clay,129,67,49,62,36,48,41,0
Gael Monfils,31,2013,Grass,28,69,54,73,26,53,39,0
Gael Monfils,31,2013,Hard,265,65,49,66,30,47,38,0
Gael Monfils,31,2012,All,198,63,45,62,32,53,42,0
Gael Monfils,31,2012,Clay,28,63,44,64,30,52,50,0
Gael Monfils,31,2012,Grass,0,0,0,0,0,0,0,0
Gael Monfils,31,2012,Hard,170,63,45,62,32,53,40,0
Gael Monfils,31,2011,All,414,63,52,62,33,49,41,1
Gael Monfils,31,2011,Clay,71,64,50,59,33,50,38,0
Gael Monfils,31,2011,Grass,67,66,52,54,32,52,52,0
Gael Monfils,31,2011,Hard,276,63,52,65,33,49,40,1
Gael Monfils,31,2010,All,565,63,51,60,31,49,38,1
Gael Monfils,31,2010,Clay,75,63,52,59,34,51,39,0
Gael Monfils,31,2010,Grass,74,62,50,68,27,46,31,0
Gael Monfils,31,2010,Hard,416,63,51,60,30,49,38,1
Gael Monfils,31,2009,All,552,62,50,63,30,50,42,1
Gael Monfils,31,2009,Clay,96,61,54,71,32,49,44,0
Gael Monfils,31,2009,Grass,4,71,62,60,25,48,22,0
Gael Monfils,31,2009,Hard,452,62,49,62,30,51,42,1
Gael Monfils,31,2008,All,353,61,50,61,33,48,40,0
Gael Monfils,31,2008,Clay,112,59,49,58,36,49,42,0
Gael Monfils,31,2008,Grass,26,66,54,72,29,44,43,0
Gael Monfils,31,2008,Hard,215,61,49,62,31,47,39,0
Gael Monfils,31,2007,All,473,57,52,59,31,45,36,0
Gael Monfils,31,2007,Clay,180,57,50,63,33,45,40,0
Gael Monfils,31,2007,Grass,105,56,54,47,29,47,30,0
Gael Monfils,31,2007,Hard,188,57,54,59,29,43,32,0
Gael Monfils,31,2006,All,252,57,49,60,33,48,46,0
Gael Monfils,31,2006,Clay,74,58,47,63,39,51,46,0
Gael Monfils,31,2006,Grass,42,61,59,38,31,48,30,0
Gael Monfils,31,2006,Hard,130,54,50,59,29,46,53,0
Gael Monfils,31,2005,All,371,53,46,53,33,50,43,1
Gael Monfils,31,2005,Clay,53,53,42,52,37,50,57,1
Gael Monfils,31,2005,Grass,41,52,47,51,24,52,45,0
Gael Monfils,31,2005,Hard,203,52,48,53,32,49,40,0
Gael Monfils,31,2004,All,43,50,42,59,30,52,48,0
Gael Monfils,31,2004,Clay,0,0,0,0,0,0,0,0
Gael Monfils,31,2004,Grass,0,0,0,0,0,0,0,0
Gael Monfils,31,2004,Hard,23,50,45,61,29,53,40,0
Vasek Pospisil,32,0,All,528,56,50,62,28,45,35,0
Vasek Pospisil,32,0,Clay,32,58,48,62,27,46,33,0
Vasek Pospisil,32,0,Grass,121,57,46,60,27,41,37,0
Vasek Pospisil,32,0,Hard,375,55,51,62,28,46,35,0
Vasek Pospisil,32,2013,All,328,55,51,65,29,47,35,0
Vasek Pospisil,32,2013,Clay,23,57,49,80,21,51,38,0
Vasek Pospisil,32,2013,Grass,74,59,46,63,31,43,45,0
Vasek Pospisil,32,2013,Hard,231,55,52,63,29,47,33,0
Vasek Pospisil,32,2012,All,140,57,46,57,27,41,31,0
Vasek Pospisil,32,2012,Clay,9,61,46,36,36,38,30,0
Vasek Pospisil,32,2012,Grass,47,55,46,57,22,39,26,0
Vasek Pospisil,32,2012,Hard,84,57,46,60,29,43,33,0
Vasek Pospisil,32,2011,All,60,54,52,62,23,48,41,0
Vasek Pospisil,32,2011,Clay,0,0,0,0,0,0,0,0
Vasek Pospisil,32,2011,Grass,0,0,0,0,0,0,0,0
Vasek Pospisil,32,2011,Hard,60,54,52,62,23,48,41,0
Vasek Pospisil,32,2008,All,0,0,0,0,0,0,0,0
Vasek Pospisil,32,2008,Clay,0,0,0,0,0,0,0,0
Vasek Pospisil,32,2008,Grass,0,0,0,0,0,0,0,0
Vasek Pospisil,32,2008,Hard,0,0,0,0,0,0,0,0
Jeremy Chardy,33,0,All,2050,58,49,64,28,48,37,1
Jeremy Chardy,33,0,Clay,659,57,50,63,32,48,40,1
Jeremy Chardy,33,0,Grass,305,59,51,68,25,44,38,0
Jeremy Chardy,33,0,Hard,1086,59,49,63,25,48,34,0
Jeremy Chardy,33,2013,All,341,61,49,64,28,49,36,0
Jeremy Chardy,33,2013,Clay,101,60,51,67,31,48,38,0
Jeremy Chardy,33,2013,Grass,66,64,56,67,25,46,30,0
Jeremy Chardy,33,2013,Hard,174,60,46,61,26,51,35,0
Jeremy Chardy,33,2012,All,324,56,50,69,29,49,37,0
Jeremy Chardy,33,2012,Clay,113,54,50,65,32,51,39,0
Jeremy Chardy,33,2012,Grass,44,60,50,71,28,44,58,0
Jeremy Chardy,33,2012,Hard,167,58,51,72,25,49,33,0
Jeremy Chardy,33,2011,All,175,57,45,59,28,45,36,0
Jeremy Chardy,33,2011,Clay,47,57,46,58,32,51,40,0
Jeremy Chardy,33,2011,Grass,18,55,47,62,27,46,30,0
Jeremy Chardy,33,2011,Hard,110,58,44,58,24,40,30,0
Jeremy Chardy,33,2010,All,443,57,49,63,29,47,38,0
Jeremy Chardy,33,2010,Clay,122,56,50,63,33,48,39,0
Jeremy Chardy,33,2010,Grass,83,57,50,71,26,43,42,0
Jeremy Chardy,33,2010,Hard,238,58,48,61,26,47,35,0
Jeremy Chardy,33,2009,All,536,59,52,62,26,47,36,1
Jeremy Chardy,33,2009,Clay,162,59,52,59,32,45,43,1
Jeremy Chardy,33,2009,Grass,58,57,53,74,18,44,43,0
Jeremy Chardy,33,2009,Hard,316,59,51,63,24,49,31,0
Jeremy Chardy,33,2008,All,193,61,50,67,26,45,35,0
Jeremy Chardy,33,2008,Clay,93,57,49,73,26,48,34,0
Jeremy Chardy,33,2008,Grass,36,58,44,58,23,43,25,0
Jeremy Chardy,33,2008,Hard,64,66,54,60,26,42,42,0
Jeremy Chardy,33,2007,All,23,57,46,54,25,46,35,0
Jeremy Chardy,33,2007,Clay,6,58,48,59,20,49,25,0
Jeremy Chardy,33,2007,Grass,0,0,0,0,0,0,0,0
Jeremy Chardy,33,2007,Hard,17,56,44,43,31,44,44,0
Jeremy Chardy,33,2006,All,15,61,42,60,36,51,48,0
Jeremy Chardy,33,2006,Clay,15,61,42,60,36,51,48,0
Jeremy Chardy,33,2006,Grass,0,0,0,0,0,0,0,0
Jeremy Chardy,33,2006,Hard,0,0,0,0,0,0,0,0
Fernando Verdasco,34,0,All,3189,68,52,62,31,51,42,5
Fernando Verdasco,34,0,Clay,820,71,51,60,34,52,42,3
Fernando Verdasco,34,0,Grass,521,67,54,68,27,49,41,0
Fernando Verdasco,34,0,Hard,1736,67,51,63,30,51,41,2
Fernando Verdasco,34,2013,All,284,61,53,59,30,51,39,0
Fernando Verdasco,34,2013,Clay,96,62,54,59,31,51,37,0
Fernando Verdasco,34,2013,Grass,80,61,57,59,30,52,44,0
Fernando Verdasco,34,2013,Hard,108,60,50,60,29,51,39,0
Fernando Verdasco,34,2012,All,250,69,51,65,31,49,40,0
Fernando Verdasco,34,2012,Clay,93,73,50,63,33,51,42,0
Fernando Verdasco,34,2012,Grass,62,65,55,71,26,42,38,0
Fernando Verdasco,34,2012,Hard,95,65,51,65,30,48,38,0
Fernando Verdasco,34,2011,All,317,69,50,63,30,52,42,0
Fernando Verdasco,34,2011,Clay,72,72,52,60,31,53,41,0
Fernando Verdasco,34,2011,Grass,44,64,46,74,26,51,52,0
Fernando Verdasco,34,2011,Hard,201,67,50,63,29,52,42,0
Fernando Verdasco,34,2010,All,348,67,49,61,32,53,41,2
Fernando Verdasco,34,2010,Clay,101,72,50,58,34,57,44,1
Fernando Verdasco,34,2010,Grass,9,57,52,40,22,36,0,0
Fernando Verdasco,34,2010,Hard,238,64,48,65,30,51,39,1
Fernando Verdasco,34,2009,All,456,69,54,66,31,53,45,1
Fernando Verdasco,34,2009,Clay,53,74,51,60,35,52,42,0
Fernando Verdasco,34,2009,Grass,85,68,59,72,21,45,39,0
Fernando Verdasco,34,2009,Hard,318,68,53,68,32,54,46,1
Fernando Verdasco,34,2008,All,270,73,52,58,33,52,45,1
Fernando Verdasco,34,2008,Clay,60,74,50,59,39,53,44,1
Fernando Verdasco,34,2008,Grass,68,71,57,60,30,53,51,0
Fernando Verdasco,34,2008,Hard,142,72,51,56,31,51,43,0
Fernando Verdasco,34,2007,All,271,72,51,61,31,50,41,0
Fernando Verdasco,34,2007,Clay,40,73,51,58,34,53,43,0
Fernando Verdasco,34,2007,Grass,32,75,51,69,30,50,35,0
Fernando Verdasco,34,2007,Hard,180,70,50,62,30,49,40,0
Fernando Verdasco,34,2006,All,228,73,50,63,31,50,40,0
Fernando Verdasco,34,2006,Clay,62,75,49,62,36,54,42,0
Fernando Verdasco,34,2006,Grass,46,73,57,77,29,47,36,0
Fernando Verdasco,34,2006,Hard,100,70,47,59,26,49,38,0
Fernando Verdasco,34,2005,All,400,65,51,62,31,50,43,0
Fernando Verdasco,34,2005,Clay,130,69,51,65,32,50,47,0
Fernando Verdasco,34,2005,Grass,28,58,53,68,31,56,35,0
Fernando Verdasco,34,2005,Hard,174,63,52,57,31,50,43,0
Fernando Verdasco,34,2004,All,267,66,55,65,28,49,39,1
Fernando Verdasco,34,2004,Clay,95,70,54,64,33,51,39,1
Fernando Verdasco,34,2004,Grass,60,59,53,59,23,46,33,0
Fernando Verdasco,34,2004,Hard,107,63,56,71,24,48,44,0
Fernando Verdasco,34,2003,All,93,66,59,56,31,49,34,0
Fernando Verdasco,34,2003,Clay,13,71,52,40,27,45,29,0
Fernando Verdasco,34,2003,Grass,7,71,46,67,25,54,29,0
Fernando Verdasco,34,2003,Hard,73,63,62,59,34,50,37,0
Fernando Verdasco,34,2002,All,5,72,33,56,36,48,41,0
